text,labels
覺得自己什麼都做不好，想找回自信和動力去面對挑戰。,自信;勇氣;事業;正能量;療癒
最近花費很大，希望能守住錢財，同時也想專心在工作上賺錢。,招財;聚財;穩財;專注;事業
面對一群陌生人時會很緊張，希望有勇氣穩定地表達自己。,勇氣;保護;溝通;表達;社交
晚上思緒萬千，擔心工作也擔心感情，導致睡不好。,助眠;事業;愛情;舒壓;抗焦慮
想創業但缺乏資金和勇氣，也怕被騙。,事業;招財;勇氣;保護;決斷
業績一直沒有起色，讓我對自己的能力產生懷疑，壓力很大。,事業;招財;舒壓;勇氣;自信
希望能和家人關係更融洽，不要因為小事吵架影響心情。,愛情;情感守護;溝通;人際;舒壓
身體疲憊，對什麼事都提不起勁，希望能找回活力。,活力;生命力;正能量;健康
想靜下來好好思考人生方向，但總是心煩意亂。,靜心;智慧;事業;清晰
我想改善優柔寡斷的個性，在關鍵時刻能勇敢做出決定。,決斷;勇氣;自信
我想交男朋友,愛情;桃花;異性緣;姻緣
我想交女朋友,愛情;桃花;異性緣;姻緣
最近分手了，心情很難過,療癒;愛情;情感守護;舒壓
哀，今天好不順,消除負能量;開運;舒壓
最近有新奇的想法，想利用機器學習來幫助家裡的小店家賺更多錢,靈感;智慧;事業;招財;財富
希望這個專案可以順利完成,保平安;事業;開運
說話沒有說服力，希望能改善口才,口才;表達;溝通;自信
跟朋友吵架了，不知道怎麼辦,人際;溝通;協調;療癒
希望家人身體健康,健康;保平安
常常覺得很累，提不起勁,活力;生命力;健康;療癒
想變得更受歡迎，增加人氣,人氣;人緣;社交;魅力
考試快到了，希望能增強記憶力,記憶力;專注;智慧
希望能順利升遷,升遷;事業;開運
覺得人生好難,療癒;舒壓;正能量;勇氣
另一半好像有事瞞著我，讓我很不安,情感守護;安心;洞察力;直覺
工作上需要很多創意,靈感;智慧
希望能心想事成,開運;正能量
最近真的太窮了，需要錢,招財;財運;財富
想讓自己更有魅力,魅力;自信;人緣
覺得磁場不乾淨，想淨化一下,淨化;消磁;穩定磁場
怎麼提升自己的第六感？,直覺;洞察力;智慧
說話總是得罪人，想改善溝通能力,溝通;人際;協調;表達
想保護我的家人不受傷害,保護;保平安
最近桃花運好像不錯，希望能把握住,桃花;愛情;姻緣
希望能中樂透,偏財;開運
常常做出錯誤的決定，需要更理性,理性;決斷;邏輯;清晰
想懷孕，希望能有好孕氣,好孕;生育力;女性調理
月經來了很不舒服，希望能調理一下,女性調理;健康;療癒
想創業，需要貴人幫助,貴人;貴人緣;事業;開運
希望能提升靈性，更了解自己,冥想;靜心;靈感;悟性
對未來感到恐懼,勇氣;安心;保護;抗焦慮
最近買了新房子，希望能淨化空間,淨化;穩定磁場;保平安
想讓自己看起來更有活力,活力;生命力;魅力
如何讓老闆更賞識我？,事業;貴人;升遷
在團隊中常常無法融入,人際;社交;溝通
想吸引更多客人來我的店裡,招財;事業;人氣
希望能順利畢業，找到好工作,事業;開運;保平安
覺得自己很孤單,療癒;人緣;愛情
如何化解跟同事的矛盾？,協調;人際;溝通;智慧
最近心悸，很不安,安心;安神;鎮定;健康
想讓頭腦更清楚，思路更有條理,清晰;邏輯;理性;專注
希望能勇敢告白成功,勇氣;愛情;桃花;表達

在公司待了好幾年，希望能順利升遷,升遷;事業;開運 
這次的專案如果成功，不知道有沒有機會晉升,升遷;事業
如何才能獲得升遷的機會？,升遷;事業;貴人緣
做業務的，需要更好的口才來說服客戶,口才;事業;溝通
跟人辯論時總是講不贏，腦袋轉不過來,口才;邏輯;清晰;表達
希望能提升說話的條理和說服力,口才;表達;邏輯
剛出社會，希望有好前輩帶領我，遇到貴人,貴人;貴人緣;事業
創業路上希望能遇到貴人相助，少走冤枉路,貴人;事業;保護;開運
希望老闆能看見我的努力，成為我的伯樂,貴人;事業
每個月那幾天都特別不舒服，希望能調理身體,女性調理;健康;療癒
正在備孕，想調整好體質，希望能順利懷孕,好孕;生育力;女性調理;健康
更年期到了，情緒和身體都不穩定，容易焦慮,女性調理;穩定情緒;抗焦慮;健康
最近家裡磁場好像不太乾淨，影響到我的睡眠，也希望家人都能平安健康,淨化;穩定磁場;助眠;保平安;健康
想換一個需要更多創意和靈感的工作，但也需要勇氣踏出這一步,事業;靈感;智慧;勇氣
最近工作忙到沒時間社交，覺得很孤單，也希望能遇到好桃花,事業;舒壓;社交;愛情;桃花;人緣
想靠投資理財賺點偏財，但又怕虧錢,偏財;招財;決斷;保護
專案報告時腦袋一片空白，需要清晰的思路和表達能力,清晰;邏輯;表達;口才
覺得自己的想法很有創意，但總是得不到別人認可,自信;表達;貴人;靈感
孩子快考試了，希望他能專心念書、保佑他考試順利,專注;保平安;開運;智慧
想買房子，希望能守住頭期款，並且找到好物件,聚財;穩財;開運;貴人緣
經營網拍生意一直沒有起色，希望能增加人氣和財運,人氣;招財;事業;開運
常常覺得詞不達意，無法順暢地表達內心想法,表達;溝通;口才
新的一年，希望能迎來好運，事業愛情兩得意,開運;事業;愛情;財運
小時候的創傷一直影響著我，希望能療癒內心,療癒;消除負能量;保護
這份工作讓我失去熱情，每天都很累,熱情;活力;生命力;事業
希望能勇敢地拒絕不合理的要求,勇敢;勇氣;保護;溝通
在團隊中常常被忽視，想增加自己的存在感和魅力,魅力;人氣;自信;社交
想提升自己的第六感和洞察力，看人能更準一點,直覺;洞察力;智慧
最近身體免疫力下降，很容易生病,免疫力;健康;療癒
希望能身心平衡，不要因為工作犧牲了健康,身心平衡;健康;事業;舒壓
最近家裡附近在施工，感覺磁場很亂，想擋煞,擋煞;穩定磁場;保護;淨化
車子買了新的護身符，希望能擋煞保平安,擋煞;保平安;辟邪
部門之間常常有衝突，希望能幫忙協調，讓團隊合作更順暢,協調;人際;溝通;事業
跟客戶的關係很緊張，需要從中調解，達成共識,協調;溝通;事業
不知道為什麼，我的異性緣好像特別差,異性緣;桃花;人緣桃花;愛情
希望能增加對異性的吸引力，多認識一些人,異性緣;魅力;桃花;社交
做決定時常常很感性，希望能更理性一點，做出正確判斷,理性;決斷;邏輯;清晰
工作上需要很強的邏輯思考能力，想加強這方面,邏輯;清晰;智慧;事業
換季的時候就感冒，免疫力太差了,免疫力;健康
冬天手腳冰冷，想促進血液循環,血液循環;健康
希望能提升新陳代謝，讓身體更有活力,新陳代謝;健康;活力
快要期末考了，希望能提升記憶力和專注力，也需要一點開運小物保佑我順利過關,記憶力;專注;開運;保平安;智慧
每天重複一樣的工作好無聊，失去了熱情，也覺得自己沒什麼成長，想尋求突破,熱情;事業;活力;勇氣
剛開始一段新戀情，希望能好好維繫，同時也想讓自己更有魅力，增加自信,情感守護;愛情;魅力;自信
店裡生意時好時壞，財運不穩定，希望能聚財守財，也需要貴人來指點迷津,財運;穩財;聚財;貴人;事業
希望財源廣進，增加被動收入,招財;財運;財富
最近感覺快被事情壓垮了，身心都很緊繃,舒壓;抗焦慮;身心平衡;療癒
覺得自己總是吸引到不對的人，想斬斷爛桃花,桃花;保護;情感守護
說話太直接，需要學習委婉的溝通技巧,溝通;表達;協調;人際
想深入自己的內心，提升悟性,悟性;智慧;冥想;靜心
在一段關係中失去自我，希望能找回自信與決斷力,自信;決斷;勇氣;情感守護
最近開銷很大，錢都存不下來，希望能增強聚財能量,聚財;穩財;招財
團隊合作時，很難讓大家達成共識，需要協調能力,協調;溝通;事業;人際
希望能有魅力，在社交場合成為焦點,魅力;社交;人氣;自信
總是胡思亂想，無法活在當下，想讓內心平靜,靜心;平靜;安心;冥想
即將上任新職位，希望能快速掌握工作，並鎮得住場面,事業;升遷;自信;決斷
希望能提升自己的洞察力，不要輕易被人欺騙,洞察力;直覺;保護;智慧
身體循環不好，氣色也很差，想從內在調理,血液循環;健康;女性調理
想透過冥想連結月亮能量，讓內心更柔和,冥想;月亮能量;女性調理;平靜
希望我的提案能被客戶接受，需要口才和好運,口才;開運;事業;溝通
面對家人的期望，壓力很大，希望能勇敢做自己,勇氣;勇敢;舒壓;自信
想為家裡進行一次大掃除，不只是物理上，也包含能量上的淨化,淨化;消磁;穩定磁場
覺得自己的創意卡關了，需要新的靈感,靈感;智慧;事業
一直單身，希望能提升桃花運，遇見好的姻緣,桃花;姻緣;愛情;異性緣
伴侶最近工作不順，情緒很低落，想守護我們的感情,情感守護;愛情;穩定情緒
希望能更有決斷力，不要再猶豫不決，錯失良機,決斷;勇氣;事業
常常覺得胸悶，心神不寧，希望能安定心神,安神;安心;鎮定;健康
希望我的正財運和偏財運都能一起提升,財運;招財;偏財;開運
在會議中不敢發言，希望能勇敢表達自己的觀點,表達;勇敢;勇氣;自信
希望能和曖昧對象的關係，有進一步的發展,愛情;桃花;情感守護
覺得自己被負能量包圍，運氣很差，想徹底淨化,消除負能量;淨化;開運;辟邪
想增強自己的氣場，讓自己更有自信和魅力,自信;魅力;正能量;人氣
希望在今年的考績中獲得肯定，順利晉升,升遷;事業;貴人緣
記憶力衰退，常常忘東忘西，想補腦,記憶力;健康;專注
想療癒過去的感情創傷，重新開始,療癒;愛情;情感守護;正能量
希望親子關係更和諧，減少爭吵,溝通;協調;情感守護;愛情
需要做出一個影響未來的重大選擇，希望能有智慧和直覺指引,智慧;直覺;決斷;勇氣
睡眠時總是淺眠，一點聲音就醒，想改善睡眠品質,睡眠;助眠;安神
想讓自己更有活力，擺脫懶散的狀態,活力;生命力;熱情
希望我的努力能被看見，遇到願意提拔我的伯樂,貴人;事業;貴人緣
希望能順利生下健康的寶寶,好孕;生育力;保平安;健康
常常在社交場合感到尷尬，不知道說什麼,社交;溝通;自信;人際
想保護我的愛情，不受第三者介入,情感守護;愛情;保護;防小人
最近財進財出，希望能穩定財運，把錢留住,穩財;聚財;財運
希望能提升自己的悟性，對事物有更深的理解,悟性;智慧;靈感
剛分手，希望能消除負能量，迎接新生活,消除負能量;療癒;愛情;正能量
想更有條理地規劃工作和生活，需要邏輯和清晰的頭腦,邏輯;清晰;專注;事業
希望我的店能人氣滿滿，生意興隆,人氣;招財;事業
感覺身體能量很低，需要補充生命力,生命力;活力;健康;正能量
希望能冷靜地面對各種突發狀況,冷靜;鎮定;理性
與人合作時，希望能順暢溝通，有效協調,溝通;協調;人際;事業
想提升自己的個人魅力，不論同性或異性都喜歡我,魅力;人緣;異性緣;桃花
希望能提升健康，增強免疫力，少生病,健康;免疫力;身心平衡
對於未來感到不安，希望能有安心感，踏實地走每一步,安心;穩定情緒;勇氣;保平安
想開啟智慧，讓思考更敏銳、更有洞察力,智慧;洞察力;清晰;邏輯
希望能順利完成這個困難的專案，需要專注力和一點好運,專注;開運;事業;保平安
最近情緒很暴躁，容易對親近的人發脾氣，希望能穩定情緒,穩定情緒;舒壓;冷靜
想提升自己的說服力，讓提案更有份量,口才;表達;自信;事業
希望守護我的婚姻，讓感情長久穩定,情感守護;姻緣;愛情;安心
覺得自己缺乏靈感，創意乾涸，需要新的刺激,靈感;智慧;事業

最近系上太卷了，希望能有好成績，卷贏其他人,事業;開運;自信;專注
我想當學霸，考試都歐趴，順利畢業,事業;開運;智慧;保平安
希望能順利保研，繼續深造,事業;升遷;開運
我的夢想是入手一台保時捷911,財富;招財;事業;開運
希望能早日財富自由，開上藍寶堅尼,財富;招財;事業;開運
不想努力了，希望能中樂透買豪宅,偏財;開運;財富
最近工作一直被老闆PUA，希望能防小人，保護自己,保護;防小人;事業;消除負能量
想脫單，但總是遇到渣男，希望能招來好桃花,愛情;桃花;姻緣;保護;情感守護
我只想躺平，但生活壓力好大，讓我不得不起床工作,舒壓;抗焦勞;事業;財富
最近常常emo，覺得人生好難，需要正能量,療癒;正能量;舒壓;消除負能量
希望能成為時間管理大師，工作生活都兼顧,事業;智慧;身心平衡;專注
這次的報告絕對不能再拖了，需要專注力和決斷力,專注;決斷;事業;智慧
看到大家都在曬offer，我好焦慮,抗焦慮;事業;舒壓;自信
希望我的CP是真的，守護他們的愛情,愛情;情感守護
想轉職到更有前景的產業，需要勇氣和好運,事業;勇氣;開運;決斷
我的目標是FIRE（財務獨立，提早退休）,財富;事業;招財;智慧
最近水逆，感覺諸事不順，需要轉運,開運;保平安;保護;消除負能量
想擺脫月光族的生活，開始學習理財,聚財;穩財;智慧;財富
希望能順利上岸（考上研究所或公務員）,事業;開運;保平安;專注
跟網友約見面，希望能給對方好印象，順利發展,愛情;桃花;魅力;自信
我的老闆是個慣老闆，讓人身心俱疲,事業;保護;防小人;療癒;舒壓
希望能擺脫單身狗的宿命，今年情人節不再一個人過,愛情;桃花;姻緣;異性緣
專案死線快到了，需要爆肝趕工，保佑一切順利,事業;專注;保平安;健康
想成為斜槓青年，發展多元事業,事業;智慧;招財;開運
最近被朋友割韭菜，心情很差，希望能防小人,防小人;保護;財富;療癒
希望能抽到演唱會的票，需要好運,開運;偏財
面試時腦袋一片空白，希望能沉著應對，拿到offer,事業;自信;冷靜;口才
只想當個社畜，安穩度日就好,事業;穩定情緒;安心
畢業即失業，對未來感到很徬徨,事業;勇氣;自信;抗焦慮
最近被發好人卡，覺得很難過,愛情;療癒;自信
希望能有好人緣，不要被當成邊緣人,人緣;人際;社交
想買一棟大房子，讓家人過好日子,財富;招財;家庭
希望能遠離職場的有毒文化,保護;事業;人際;消除負能量
想來一場說走就走的旅行，放鬆心情,放鬆;舒壓;勇氣
看到帳單就焦慮，希望能財源廣進,抗焦慮;招財;財運;財富
我的手機一直滑，沒辦法專心,專注;靜心
希望能六點準時下班，擁有自己的生活,事業;身心平衡;健康
想成為一個有故事的人，增加個人魅力,魅力;智慧;社交
最近吃土了，急需用錢,招財;財運
希望我的偶像事業順利，發光發熱,開運;事業
跟另一半冷戰中，不知道如何是好,愛情;情感守護;溝通;協調
想當個廢物，但現實不允許,舒壓;療癒;事業
希望我的論文能順利通過口試,事業;保平安;智慧;口才
暗戀一個人好久，希望能有勇氣告白,愛情;勇氣;桃花;表達
想中發票，來點小確幸,偏財;開運
最近在YT上看到很多水晶介紹，感覺很神奇,智慧;靈感
希望能擺脫容貌焦慮，更有自信,自信;魅力;療癒;抗焦慮
想學會投資，讓錢滾錢,招財;財富;智慧
我的拖延症很嚴重，影響到工作進度,專注;決斷;事業
希望能斷捨離，不只是物品，也包含人際關係,淨化;智慧;決斷;人際
想跟曖昧對象修成正果,愛情;姻緣;桃花;情感守護
想買人生第一台車，保佑行車平安,保平安;保護
工作上有很多豬隊友，心好累,事業;人際;防小人;舒壓
希望能有好EQ，穩定自己的情緒,穩定情緒;智慧;冷靜
想幫寵物祈福，希望牠身體健康,健康;保平安;療癒
最近被朋友情緒勒索，不知道怎麼辦,保護;人際;溝通;決斷
希望能提升行動力，不再只是空想家,勇氣;決斷;事業
想幫家裡求個平安，大家身體健康,保平安;健康;家庭
跟前任糾纏不清，希望能徹底斷乾淨,情感守護;保護;決斷;淨化
工作倦怠，找不到成就感，想找回熱情,事業;熱情;活力;療癒
希望能擊敗競爭對手，拿下這個案子,事業;自信;開運;勇氣
想讓自己更有氣質，提升個人魅力,魅力;自信
希望另一半能更體貼我,愛情;情感守護;溝通
想讓自己說話更有趣，成為社交達人,社交;口才;魅力;人氣
希望在新的環境能快速融入，交到新朋友,人際;社交;人緣;勇氣
最近運勢很低，做什麼都不順,開運;消除負能量;辟邪
想創業，需要源源不絕的靈感,事業;靈感;智慧;創意
希望能化解與家人之間的心結,家庭;療癒;溝通;協調
想讓自己更有正能量，吸引好的人事物,正能量;開運;人緣;魅力
最近加班很兇，需要補充體力,健康;活力;生命力
希望能提升第六感，趨吉避凶,直覺;保護;洞察力
想更有主見，不要被人牽著鼻子走,自信;決斷;勇氣;智慧
想要有好姻緣，但不想再透過相親,姻緣;愛情;桃花;開運
希望我的副業能越做越好，甚至超過主業,事業;招財;財富;開運
覺得自己的人生卡關了，需要突破,勇氣;開運;事業;智慧
希望能守護我的家庭，讓家人關係和睦,家庭;情感守護;保護;協調
想讓自己更有氣場，不被輕易看扁,自信;魅力;保護;正能量
最近常常破財，希望能守住錢包,聚財;穩財;保護
希望能提升自己的專業能力，在職場上更有競爭力,事業;智慧;自信
想讓暗戀對象注意到我,愛情;桃花;魅力;自信
希望另一半不要再已讀不回，溝通順暢,愛情;溝通;情感守護
想減肥成功，需要毅力與健康的方法,健康;決斷;自信;勇氣
希望能緩解我的社恐，自在地與人交流,社交;自信;勇氣;抗焦慮
最近常常鑽牛角尖，希望能思路開闊,智慧;清晰;舒壓;療癒
想讓老闆加薪，需要勇氣和好時機,事業;升遷;招財;勇氣;貴人緣
希望能提升自己的審美觀和品味,魅力;智慧
想讓自己的心胸更開闊，不計較小事,智慧;平靜;療癒
希望在比賽中能有好表現，發揮實力,開運;自信;勇氣;專注
想讓自己更有執行力，告別三分鐘熱度,決斷;勇氣;專注;事業
希望解決多年的家庭紛爭,家庭;協調;療癒;溝通
想更有創意地解決工作上的難題,創意;靈感;智慧;事業
希望我的網店能有更多流量和訂單,事業;招財;人氣;開運
覺得自己很容易相信別人，希望能增加判斷力,洞察力;直覺;保護;理性
想讓自己更有女人味/男人味,魅力;自信;異性緣
希望能擺脫有毒的關係，勇敢離開,勇氣;決斷;保護;療癒;情感守護
想讓自己的反應更快，邏輯更清晰,邏輯;清晰;智慧
希望在旅行中能平安，並有美好的邂逅,保平安;愛情;桃花;開運
想讓自己在團隊中更有影響力,事業;人氣;口才;自信
希望能改善婆媳關係,家庭;協調;溝通;人際
想讓自己的文筆更好，寫出動人的文章,表達;智慧;靈感;創意
覺得自己的生活一成不變，需要新的刺激和活力,活力;熱情;勇氣;開運
希望能提升自己的投資眼光，抓住賺錢的機會,洞察力;決斷;招財;財運;智慧
想讓自己更有耐心，不輕易發脾氣,穩定情緒;冷靜;平靜
希望我的孩子能健康快樂地長大,健康;保平安;家庭;情感守護
覺得自己的知識不夠用，想增進智慧,智慧;學習
想讓自己看起來更年輕，更有活力,活力;健康;魅力
希望能順利考取證照，為自己的履歷加分,事業;開運;智慧;專注
想讓自己的聲音更好聽，更有說服力,口才;表達;魅力
希望我的毛小孩能一直陪著我,情感守護;健康;保平安
覺得自己的努力都沒有回報，感到心累,療癒;舒壓;事業;正能量
希望能更有效地管理人脈資源,人際;社交;事業;貴人
想讓自己更有儀式感，提升生活品質,平靜;靜心;身心平衡
希望在藝術創作上能有更多靈感,靈感;創意;智慧
想讓自己的心態更年輕，保持好奇心,活力;熱情;智慧
希望能順利度過這次的難關,保平安;勇氣;開運;保護
想讓自己的家更有溫馨感,家庭;安心;情感守護
希望能提升自己的幽默感，成為有趣的人,社交;魅力;人氣
覺得自己的世界太小了，想多出去走走看看,勇氣;開運;社交
想讓自己的廚藝更進步,智慧;創意
希望我的告白能成功,愛情;桃花;勇氣;姻緣
覺得自己很玻璃心，希望能更堅強,勇氣;穩定情緒;保護
想讓自己的直覺更敏銳，做出對的選擇,直覺;決斷;智慧
希望能提升自己的運動表現,健康;活力;開運
想讓自己的歌聲更有感染力,表達;魅力;自信
希望我的設計作品能得獎,事業;開運;靈感;創意
覺得自己總是想太多，內耗嚴重,抗焦慮;舒壓;靜心;平靜
希望能改善駝背，讓體態更好看,健康;魅力
想讓自己的思路更清晰，不再混亂,清晰;邏輯;專注
希望我的愛情能開花結果,愛情;姻緣;情感守護
覺得自己很迷信，但還是希望神明保佑,保平安;開運
想讓自己的理財能力更強，早日退休,財富;聚財;穩財;智慧
希望能提升自己的藝術鑑賞能力,智慧;魅力
想讓自己的內心更富足，不被物質綁架,智慧;平靜;療癒;安心
希望我的植物能長得茂盛,生命力;療癒
覺得自己缺乏安全感，很需要被保護,保護;安心;穩定情緒
想讓自己的文案更吸引人，提高轉換率,口才;表達;事業;招財
希望我的另一半能事業有成,事業;開運;財運;情感守護
覺得自己的生活缺少熱情,熱情;活力;生命力
希望能更了解自己，找到人生的方向,智慧;直覺;洞察力;悟性
想讓自己的穿搭更有品味,魅力;自信
希望我的家庭能和樂融融,家庭;情感守護;協調
想讓自己的寵物更聽話,溝通;協調
覺得自己很平凡，希望能找到自己的閃光點,自信;魅力;智慧
希望能提升自己的領導力，帶領團隊前進,事業;升遷;人際;自信
想讓自己的房間磁場更舒適，幫助睡眠,穩定磁場;淨化;助眠;睡眠
希望我的創作能被更多人看見,人氣;事業;開運
覺得自己總是遇到不好的事，想轉運,開運;辟邪;消除負能量
想讓自己的心更柔軟，更有同理心,療癒;平靜;人際
希望能勇敢追夢，不留遺憾,勇氣;勇敢;決斷;事業
想讓自己的身材更好，更有線條,健康;魅力;自信
希望我愛的人都能平安健康,保平安;健康;情感守護
覺得自己被困住了，需要改變和突破,突破;勇氣;開運
想讓自己的氣色更好，由內而外散發光彩,健康;血液循環;魅力;女性調理
希望能提升自己的數位技能，跟上時代,智慧;事業;學習
想讓自己的心靈得到療癒，走出傷痛,療癒;舒壓;平靜;消除負能量
希望我的店能成為人氣名店,人氣;事業;招財
覺得自己很遲鈍，希望能反應快一點,清晰;智慧
想讓自己的感情世界更豐富多彩,愛情;桃花;人緣桃花;社交
希望能順利生下寶寶，母子均安,好孕;生育力;保平安;健康
想讓自己的生活更有目標感,事業;決斷;智慧;專注
希望我的家人能支持我的決定,家庭;溝通;協調;情感守護
覺得自己很孤僻，想學習如何社交,社交;人際;勇氣;自信
想讓自己的作品更有深度，引人反思,智慧;靈感;表達
希望能提升自己的抗壓性,抗焦慮;舒壓;穩定情緒;勇氣
想讓自己的家更有設計感,創意;魅力
希望我的祈禱能被聽見,開運;保平安
覺得自己的聲音沒有力量，想增加說話的份量,自信;口才;表達
想讓自己的愛情保鮮，一直熱戀,愛情;情感守護;熱情
希望能提升自己的運氣，常常撿到錢,偏財;開運;財運
想讓自己的眼光更獨到，發現別人看不到的機會,洞察力;直覺;智慧;事業
覺得自己很容易分心，需要靜心,靜心;專注;平靜
希望能改善失眠多夢的狀況,睡眠;助眠;安神;療癒
想讓自己的手作更有溫度，感動人心,創意;療癒;表達
希望我的努力能被肯定,事業;自信;貴人
覺得自己很沒用，需要自我肯定,自信;療癒;正能量
想讓自己的生活更自律,決斷;專注;勇氣
希望能提升自己的幽默感,社交;魅力
想讓自己的心靜下來，好好讀一本書,靜心;平靜;專注;智慧
希望我的孩子能學業進步,事業;開運;智慧;專注
覺得自己很脆弱，希望能堅強起來,勇氣;保護;穩定情緒
想讓自己的直覺更準，買樂透更容易中,直覺;偏財;開運
希望能提升自己的運動細胞,健康;活力
想讓自己的歌聲更動人,表達;魅力
希望我的畫能賣出去,事業;招財;開運
覺得自己總是想太多，心很累,抗焦慮;舒壓;靜心;療癒
希望能改善自己的體態，更有自信,健康;魅力;自信
想讓自己的思路更敏捷,清晰;邏輯;智慧
希望我的戀情能長長久久,愛情;姻緣;情感守護
覺得自己很衰，需要改運,開運;辟邪;消除負能量;保平安
想讓自己的理財技巧更好,財富;聚財;穩財;智慧
希望能提升自己的藝術天份,智慧;靈感;創意
想讓自己的內心更強大，不被外界動搖,保護;穩定情緒;勇氣;安心
希望我種的花能開得漂亮,生命力;療癒
覺得自己很沒安全感,保護;安心;穩定情緒;抗焦慮
想讓自己的文案更有創意，吸引眼球,口才;表達;事業;創意;靈感
希望我的伴侶能步步高升,事業;升遷;開運;情感守護
覺得生活缺少激情，想找回熱情,熱情;活力;生命力
希望能更了解自己的潛能,智慧;直覺;洞察力;悟性
想讓自己的穿著更有風格,魅力;自信
希望我的家庭幸福美滿,家庭;情感守護;協調;安心
想讓我的狗學會更多才藝,溝通;協調;智慧
覺得自己很普通，想變得獨一無二,自信;魅力;智慧;創意
希望能帶領團隊完成目標，展現領導力,事業;升遷;人際;自信
想讓臥室磁場更安穩，幫助睡眠,穩定磁場;淨化;助眠;睡眠
希望我的頻道能有更多訂閱,人氣;事業;開運
覺得自己衰事連連，想轉運,開運;辟邪;消除負能量
想讓自己的心更柔軟，能包容不同的人,療癒;平靜;人際;智慧
希望能勇敢創業，實現自己的理想,勇氣;勇敢;決斷;事業;招財
想讓自己的身材更健美，充滿力量,健康;魅力;自信;活力
希望我關心的人都能平安喜樂,保平安;健康;情感守護;安心
覺得自己陷入瓶頸，需要突破性的發展,事業;勇氣;開運;突破
想讓自己的氣色紅潤，看起來精神好,健康;血液循環;魅力;女性調理
希望能學會新的程式語言，為自己增值,智慧;事業;學習
想讓自己的心靈成長，走出陰霾,療癒;舒壓;平靜;消除負能量;正能量
希望我的餐廳能高朋滿座,人氣;事業;招財
覺得自己反應慢半拍，想變機靈點,清晰;智慧;邏輯
想讓自己的感情生活更多采多姿，認識不同的人,愛情;桃花;人緣桃花;社交
希望能安胎，順利生下寶寶,好孕;生育力;保平安;健康
想讓自己的生活更有方向感，不再迷惘,事業;決斷;智慧;專注
希望我的父母能理解我，不要再吵架,家庭;溝通;協調;情感守護;療癒
覺得自己很自閉，想走出去交朋友,社交;人際;勇氣;自信
想讓自己的小說更有深度,智慧;靈感;表達;創意
希望能提升自己的抗壓能力，從容應對挑戰,抗焦慮;舒壓;穩定情緒;勇氣
想讓自己的家更有品味,創意;魅力
